Number Sorted,Time
1000,0.000144
2000,0.000307
3000,0.000534
4000,0.000707
5000,0.001012
6000,0.001822
7000,0.001281
8000,0.001476
9000,0.001694
10000,0.001881
11000,0.002344
12000,0.002331
13000,0.00255
14000,0.002748
15000,0.002973
16000,0.003169
17000,0.003445
18000,0.003633
19000,0.003855
20000,0.004059
21000,0.004307
22000,0.004548
23000,0.004735
24000,0.005014
25000,0.005236
26000,0.005436
27000,0.005668
28000,0.005945
29000,0.006131
30000,0.006387
31000,0.006631
32000,0.006819
33000,0.007073
34000,0.007318
35000,0.007699
36000,0.007815
37000,0.008068
38000,0.008296
39000,0.00857
40000,0.008754
41000,0.009075
42000,0.00928
43000,0.009495
44000,0.009742
45000,0.010006
46000,0.010294
47000,0.010424
48000,0.010749
49000,0.010981
50000,0.011173
51000,0.011411
52000,0.011692
53000,0.011943
54000,0.012245
55000,0.012433
56000,0.012671
57000,0.013128
58000,0.013262
59000,0.013457
60000,0.013836
61000,0.014134
62000,0.014308
63000,0.014483
64000,0.014675
65000,0.014965
66000,0.015308
67000,0.015456
68000,0.015742
69000,0.016006
70000,0.016261
71000,0.016543
72000,0.016716
73000,0.017166
74000,0.017347
75000,0.017561
76000,0.017794
77000,0.018117
78000,0.018309
79000,0.018586
80000,0.01893
81000,0.019266
82000,0.019498
83000,0.019754
84000,0.020038
85000,0.020331
86000,0.020668
87000,0.020874
88000,0.02175
89000,0.02155
90000,0.021667
91000,0.021968
92000,0.022321
93000,0.022503
94000,0.022774
95000,0.023132
96000,0.023243
97000,0.023618
98000,0.024176
99000,0.024166
100000,0.024345
101000,0.024681
102000,0.024838
103000,0.025158
104000,0.02564
105000,0.02577
106000,0.025997
107000,0.026282
108000,0.026727
109000,0.026829
110000,0.027051
111000,0.02763
112000,0.027795
113000,0.027956
114000,0.02816
115000,0.028436
116000,0.028834
117000,0.028963
118000,0.029341
119000,0.029645
120000,0.0301
121000,0.030201
122000,0.030375
123000,0.030578
124000,0.030956
125000,0.031141
126000,0.031556
127000,0.031753
128000,0.032125
129000,0.032753
130000,0.0327
131000,0.032981
132000,0.033199
133000,0.033549
134000,0.033801
135000,0.034119
136000,0.034408
137000,0.034713
138000,0.03485
139000,0.035242
140000,0.035517
141000,0.035709
142000,0.036057
143000,0.036497
144000,0.036519
145000,0.036973
146000,0.037319
147000,0.037629
148000,0.038045
149000,0.038058
150000,0.038388
151000,0.038848
152000,0.039048
153000,0.039172
154000,0.039442
155000,0.039789
156000,0.040117
157000,0.040485
158000,0.040714
159000,0.040979
160000,0.041207
161000,0.041457
162000,0.04178
163000,0.041984
164000,0.042532
165000,0.042925
166000,0.043008
167000,0.043466
168000,0.04371
169000,0.043886
170000,0.044116
171000,0.044628
172000,0.044962
173000,0.045063
174000,0.045282
175000,0.045563
176000,0.045943
177000,0.046161
178000,0.046442
179000,0.046837
180000,0.047064
181000,0.047275
182000,0.047531
183000,0.047816
184000,0.04813
185000,0.048297
186000,0.048779
187000,0.048926
188000,0.049229
189000,0.049836
190000,0.049877
191000,0.050305
192000,0.050547
193000,0.050836
194000,0.051217
195000,0.051535
196000,0.051953
197000,0.05188
198000,0.052294
199000,0.052463
200000,0.052902
201000,0.053185
202000,0.05367
203000,0.0539
204000,0.054353
205000,0.05448
206000,0.054667
207000,0.055245
208000,0.055532
209000,0.055635
210000,0.055991
211000,0.056128
212000,0.056578
213000,0.056719
214000,0.057042
215000,0.057283
216000,0.057796
217000,0.057898
218000,0.058308
219000,0.05851
220000,0.059001
221000,0.059063
222000,0.059437
223000,0.060225
224000,0.060038
225000,0.060216
226000,0.060365
227000,0.060813
228000,0.060741
229000,0.061101
230000,0.061665
231000,0.061963
232000,0.062573
233000,0.062748
234000,0.063056
235000,0.063241
236000,0.063578
237000,0.06369
238000,0.064009
239000,0.064557
240000,0.0649
241000,0.064986
242000,0.065327
243000,0.065802
244000,0.065855
245000,0.066034
246000,0.066339
247000,0.066786
248000,0.066894
249000,0.067507
250000,0.067759
251000,0.06779
252000,0.068219
253000,0.068659
254000,0.069244
255000,0.069297
256000,0.069436
257000,0.069862
258000,0.069959
259000,0.070299
260000,0.070435
261000,0.07078
262000,0.071404
263000,0.072515
264000,0.07182
265000,0.072159
266000,0.07241
267000,0.073185
268000,0.07329
269000,0.07372
270000,0.073988
271000,0.074547
272000,0.074569
273000,0.074768
274000,0.075009
275000,0.075333
276000,0.075792
277000,0.075948
278000,0.076215
279000,0.076626
280000,0.076752
281000,0.077116
282000,0.077396
283000,0.077855
284000,0.078164
285000,0.078449
286000,0.078913
287000,0.079016
288000,0.079038
289000,0.079183
290000,0.079647
291000,0.080553
292000,0.080382
293000,0.080972
294000,0.081066
295000,0.081142
296000,0.081521
297000,0.081626
298000,0.081839
299000,0.082268
300000,0.082775
301000,0.083397
302000,0.083421
303000,0.083951
304000,0.083982
305000,0.084268
306000,0.084378
307000,0.084822
308000,0.085024
309000,0.085477
310000,0.085603
311000,0.08773
312000,0.086302
313000,0.086792
314000,0.087532
315000,0.087107
316000,0.087702
317000,0.088275
318000,0.088058
319000,0.088816
320000,0.088749
321000,0.089625
322000,0.08954
323000,0.089835
324000,0.090212
325000,0.090387
326000,0.096917
327000,0.09132
328000,0.091759
329000,0.091765
330000,0.094584
331000,0.092673
332000,0.092795
333000,0.092959
334000,0.093381
335000,0.093562
336000,0.094051
337000,0.094739
338000,0.09475
339000,0.094855
340000,0.095572
341000,0.095629
342000,0.096199
343000,0.096416
344000,0.09677
345000,0.096783
346000,0.096943
347000,0.097854
348000,0.097937
349000,0.09794
350000,0.099003
351000,0.098811
352000,0.099794
353000,0.10027
354000,0.100487
355000,0.100302
356000,0.100148
357000,0.101337
358000,0.102119
359000,0.103061
360000,0.10247
361000,0.101701
362000,0.102133
363000,0.102455
364000,0.103205
365000,0.104406
366000,0.103684
367000,0.10456
368000,0.104296
369000,0.104402
370000,0.104766
371000,0.105228
372000,0.105752
373000,0.105465
374000,0.105636
375000,0.10618
376000,0.105838
377000,0.106501
378000,0.106765
379000,0.1071
380000,0.107294
381000,0.108065
382000,0.107832
383000,0.10845
384000,0.109116
385000,0.108911
386000,0.109536
387000,0.109636
388000,0.110159
389000,0.110026
390000,0.110586
391000,0.110938
392000,0.111366
393000,0.111896
394000,0.111846
395000,0.11245
396000,0.112341
397000,0.113364
398000,0.114229
399000,0.114699
400000,0.114656
401000,0.115335
402000,0.114672
403000,0.115179
404000,0.115382
405000,0.116111
406000,0.11643
407000,0.116184
408000,0.116302
409000,0.116821
410000,0.117485
411000,0.117491
412000,0.119436
413000,0.120409
414000,0.121037
415000,0.120103
416000,0.119416
417000,0.11861
418000,0.123156
419000,0.163292
420000,0.148635
421000,0.129345
422000,0.121185
423000,0.121635
424000,0.120789
425000,0.121558
426000,0.122086
427000,0.122755
428000,0.12393
429000,0.12468
430000,0.124629
431000,0.124894
432000,0.124832
433000,0.126205
434000,0.125672
435000,0.125013
436000,0.126451
437000,0.12701
438000,0.129523
439000,0.128599
440000,0.128315
441000,0.130399
442000,0.128554
443000,0.128511
444000,0.128789
445000,0.129396
446000,0.128862
447000,0.128922
448000,0.129109
449000,0.132288
450000,0.129674
451000,0.129995
452000,0.130306
453000,0.130595
454000,0.130973
455000,0.131204
456000,0.131225
457000,0.13347
458000,0.132417
459000,0.132974
460000,0.135092
461000,0.134124
462000,0.133971
463000,0.13361
464000,0.133792
465000,0.134143
466000,0.135254
467000,0.135462
468000,0.134975
469000,0.135329
470000,0.135413
471000,0.136837
472000,0.1369
473000,0.137714
474000,0.137768
475000,0.139094
476000,0.138862
477000,0.138679
478000,0.139282
479000,0.139574
480000,0.139101
481000,0.144286
482000,0.143226
483000,0.140784
484000,0.139888
485000,0.145375
486000,0.140816
487000,0.141593
488000,0.14205
489000,0.142729
490000,0.142799
491000,0.142797
492000,0.143382
493000,0.145907
494000,0.145049
495000,0.144882
496000,0.145245
497000,0.145174
498000,0.145734
499000,0.146295
500000,0.146241
501000,0.149016
502000,0.147686
503000,0.147835
504000,0.149306
505000,0.148649
506000,0.149348
507000,0.149149
508000,0.150028
509000,0.151361
510000,0.151646
511000,0.149653
512000,0.151725
513000,0.153259
514000,0.154372
515000,0.152539
516000,0.151448
517000,0.155066
518000,0.152528
519000,0.152731
520000,0.153443
521000,0.154494
522000,0.1546
523000,0.154419
524000,0.156079
525000,0.15581
526000,0.155271
527000,0.158413
528000,0.156465
529000,0.156028
530000,0.157647
531000,0.157793
532000,0.157415
533000,0.160023
534000,0.168353
535000,0.159687
536000,0.159998
537000,0.158944
538000,0.15886
539000,0.15922
540000,0.159693
541000,0.159871
542000,0.161656
543000,0.161257
544000,0.162459
545000,0.166098
546000,0.163845
547000,0.162574
548000,0.163849
549000,0.16214
550000,0.162264
551000,0.163462
552000,0.16297
553000,0.162886
554000,0.164104
555000,0.164342
556000,0.164939
557000,0.166757
558000,0.166049
559000,0.164678
560000,0.167653
561000,0.165757
562000,0.165989
563000,0.166848
564000,0.168232
565000,0.167146
566000,0.167396
567000,0.167898
568000,0.167311
569000,0.167696
570000,0.169941
571000,0.168884
572000,0.1705
573000,0.170439
574000,0.170907
575000,0.171198
576000,0.174402
577000,0.172197
578000,0.175309
579000,0.17333
580000,0.173447
581000,0.17392
582000,0.174399
583000,0.174863
584000,0.176556
585000,0.177494
586000,0.176724
587000,0.175628
588000,0.175177
589000,0.175849
590000,0.176454
591000,0.177298
592000,0.176709
593000,0.177675
594000,0.179883
595000,0.177869
596000,0.181811
597000,0.182156
598000,0.179077
599000,0.17885
600000,0.180433
601000,0.180661
602000,0.181658
603000,0.181455
604000,0.180841
605000,0.181874
606000,0.183043
607000,0.182717
608000,0.187571
609000,0.185274
610000,0.183544
611000,0.182849
612000,0.183508
613000,0.183827
614000,0.185431
615000,0.185664
616000,0.185241
617000,0.186126
618000,0.185021
619000,0.185165
620000,0.187038
621000,0.186864
622000,0.189399
623000,0.192024
624000,0.190113
625000,0.189577
626000,0.193669
627000,0.189193
628000,0.188606
629000,0.192319
630000,0.191657
631000,0.193603
632000,0.193472
633000,0.191775
634000,0.193071
635000,0.193106
636000,0.194731
637000,0.195712
638000,0.192778
639000,0.199424
640000,0.193578
641000,0.196899
642000,0.194516
643000,0.199196
644000,0.194444
645000,0.194716
646000,0.19566
647000,0.19632
648000,0.195173
649000,0.197352
650000,0.195846
651000,0.197338
652000,0.195853
653000,0.196455
654000,0.195932
655000,0.199094
656000,0.20023
657000,0.20174
658000,0.200453
659000,0.202453
660000,0.199178
661000,0.20003
662000,0.200594
663000,0.208576
664000,0.20599
665000,0.214924
666000,0.209356
667000,0.206783
668000,0.207099
669000,0.211675
670000,0.20743
671000,0.205925
672000,0.206344
673000,0.203931
674000,0.20823
675000,0.207779
676000,0.207225
677000,0.207251
678000,0.209946
679000,0.209007
680000,0.209731
681000,0.207911
682000,0.208127
683000,0.207342
684000,0.208474
685000,0.211172
686000,0.207381
687000,0.210902
688000,0.208694
689000,0.209447
690000,0.210356
691000,0.212927
692000,0.211052
693000,0.213111
694000,0.213963
695000,0.213373
696000,0.221001
697000,0.221701
698000,0.230144
699000,0.218629
700000,0.216714
701000,0.218841
702000,0.215852
703000,0.216141
704000,0.215223
705000,0.214073
706000,0.217468
707000,0.217805
708000,0.214608
709000,0.2141
710000,0.215572
711000,0.220606
712000,0.221662
713000,0.218799
714000,0.217787
715000,0.223997
716000,0.2254
717000,0.223918
718000,0.223024
719000,0.222167
720000,0.222684
721000,0.220117
722000,0.223216
723000,0.220725
724000,0.223183
725000,0.221925
726000,0.22294
727000,0.222602
728000,0.225296
729000,0.225163
730000,0.224133
731000,0.227081
732000,0.226993
733000,0.227585
734000,0.230338
735000,0.227715
736000,0.227991
737000,0.225709
738000,0.22668
739000,0.226421
740000,0.234872
741000,0.236835
742000,0.23541
743000,0.230904
744000,0.227892
745000,0.230731
746000,0.230074
747000,0.232065
748000,0.230618
749000,0.235242
750000,0.239795
751000,0.234433
752000,0.233049
753000,0.233165
754000,0.233652
755000,0.240194
756000,0.240367
757000,0.237943
758000,0.237226
759000,0.236332
760000,0.240419
761000,0.239834
762000,0.243029
763000,0.242573
764000,0.23878
765000,0.239232
766000,0.238969
767000,0.237516
768000,0.236927
769000,0.237332
770000,0.237233
771000,0.236224
772000,0.2373
773000,0.23559
774000,0.241296
775000,0.243362
776000,0.24034
777000,0.24003
778000,0.241434
779000,0.246135
780000,0.244319
781000,0.244663
782000,0.244769
783000,0.244314
784000,0.246764
785000,0.24244
786000,0.243698
787000,0.249661
788000,0.244283
789000,0.245558
790000,0.244217
791000,0.247475
792000,0.245056
793000,0.24539
794000,0.246079
795000,0.246855
796000,0.246874
797000,0.246743
798000,0.247615
799000,0.248049
800000,0.247719
801000,0.24728
802000,0.247981
803000,0.249327
804000,0.249811
805000,0.249146
806000,0.250117
807000,0.252372
808000,0.252003
809000,0.256891
810000,0.253537
811000,0.257949
812000,0.253714
813000,0.253417
814000,0.259103
815000,0.255633
816000,0.25558
817000,0.256236
818000,0.263084
819000,0.258441
820000,0.260226
821000,0.257034
822000,0.257692
823000,0.256179
824000,0.25928
825000,0.256546
826000,0.267064
827000,0.264561
828000,0.261334
829000,0.261396
830000,0.266935
831000,0.268729
832000,0.269952
833000,0.263453
834000,0.262951
835000,0.266805
836000,0.261789
837000,0.269416
838000,0.263106
839000,0.264911
840000,0.263465
841000,0.263513
842000,0.262973
843000,0.265488
844000,0.26878
845000,0.269951
846000,0.26458
847000,0.265962
848000,0.264751
849000,0.266487
850000,0.265814
851000,0.269075
852000,0.267719
853000,0.266786
854000,0.269808
855000,0.268593
856000,0.26905
857000,0.2668
858000,0.269094
859000,0.27051
860000,0.269781
861000,0.271539
862000,0.269922
863000,0.271519
864000,0.273062
865000,0.271071
866000,0.27405
867000,0.272186
868000,0.273533
869000,0.270453
870000,0.276272
871000,0.27223
872000,0.277584
873000,0.274395
874000,0.276138
875000,0.274311
876000,0.273726
877000,0.28817
878000,0.276002
879000,0.27541
880000,0.277894
881000,0.278651
882000,0.274669
883000,0.279946
884000,0.277736
885000,0.278476
886000,0.281452
887000,0.278571
888000,0.279071
889000,0.281436
890000,0.2823
891000,0.279096
892000,0.282801
893000,0.282943
894000,0.283838
895000,0.28329
896000,0.283021
897000,0.284118
898000,0.283479
899000,0.283588
900000,0.286549
901000,0.289782
902000,0.284785
903000,0.284788
904000,0.287015
905000,0.2884
906000,0.285409
907000,0.285639
908000,0.28761
909000,0.287182
910000,0.288272
911000,0.287766
912000,0.288396
913000,0.290209
914000,0.290688
915000,0.292913
916000,0.289222
917000,0.29269
918000,0.29311
919000,0.294961
920000,0.292792
921000,0.291435
922000,0.294732
923000,0.29458
924000,0.293868
925000,0.292474
926000,0.29262
927000,0.29418
928000,0.293842
929000,0.29253
930000,0.295606
931000,0.298663
932000,0.295449
933000,0.2962
934000,0.29536
935000,0.29792
936000,0.297958
937000,0.299448
938000,0.30119
939000,0.300999
940000,0.300253
941000,0.299303
942000,0.301098
943000,0.303468
944000,0.302158
945000,0.300326
946000,0.301472
947000,0.302498
948000,0.299865
949000,0.302507
950000,0.304297
951000,0.302336
952000,0.302573
953000,0.302824
954000,0.306426
955000,0.305957
956000,0.306193
957000,0.304529
958000,0.312987
959000,0.306249
960000,0.304977
961000,0.306387
962000,0.305518
963000,0.30922
964000,0.304709
965000,0.305525
966000,0.305601
967000,0.307207
968000,0.30926
969000,0.304991
970000,0.308326
971000,0.311035
972000,0.311657
973000,0.31373
974000,0.313755
975000,0.31078
976000,0.312215
977000,0.317035
978000,0.31523
979000,0.313886
980000,0.313952
981000,0.314461
982000,0.31305
983000,0.313569
984000,0.315784
985000,0.318194
986000,0.315158
987000,0.313153
988000,0.314667
989000,0.313273
990000,0.31678
991000,0.315892
992000,0.31785
993000,0.318214
994000,0.318569
995000,0.319028
996000,0.319833
997000,0.323143
998000,0.322667
999000,0.321043
1000000,0.323073
